"Section","Catchline","Definiendum","Definition","Scope"
"7 U.S. Code § 1a","Definitions","Member of a registered entity; member of a derivatives transaction execution facility","The term “member” means, with respect to a registered entity or derivatives transaction execution facility, an individual, association, partnership, corporation, or trust—
(A) owning or holding membership in, or admitted to membership representation on, the registered entity or derivatives transaction execution facility; or
(B) having trading privileges on the registered entity or derivatives transaction execution facility.
A participant in an alternative trading system that is designated as a contract market pursuant to section 7b–1 of this title is deemed a member of the contract market for purposes of transactions in security futures products through the contract market.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Narrow-based security index","(A) The term “narrow-based security index” means an index—
(i) that has 9 or fewer component securities;
(ii) in which a component security comprises more than 30 percent of the index’s weighting;
(iii) in which the five highest weighted component securities in the aggregate comprise more than 60 percent of the index’s weighting; or
(iv) in which the lowest weighted component securities comprising, in the aggregate, 25 percent of the index’s weighting have an aggregate dollar value of average daily trading volume of less than $50,000,000 (or in the case of an index with 15 or more component securities, $30,000,000), except that if there are two or more securities with equal weighting that could be included in the calculation of the lowest weighted component securities comprising, in the aggregate, 25 percent of the index’s weighting, such securities shall be ranked from lowest to highest dollar value of average daily trading volume and shall be included in the calculation based on their ranking starting with the lowest ranked security.
(B) Notwithstanding subparagraph (A), an index is not a narrow-based security index if—
(i)
(I) it has at least 9 component securities;
(II) no component security comprises more than 30 percent of the index’s weighting; and
(III) each component security is—
(aa) registered pursuant to section 12 of the Securities Exchange Act of 1934 [15 U.S.C. 78l];
(bb) one of 750 securities with the largest market capitalization; and
(cc) one of 675 securities with the largest dollar value of average daily trading volume;
(ii) a board of trade was designated as a contract market by the Commodity Futures Trading Commission with respect to a contract of sale for future delivery on the index, before December 21, 2000;
(iii)
(I) a contract of sale for future delivery on the index traded on a designated contract market or registered derivatives transaction execution facility for at least 30 days as a contract of sale for future delivery on an index that was not a narrow-based security index; and
(II) it has been a narrow-based security index for no more than 45 business days over 3 consecutive calendar months;
(iv) a contract of sale for future delivery on the index is traded on or subject to the rules of a foreign board of trade and meets such requirements as are jointly established by rule or regulation by the Commission and the Securities and Exchange Commission;
(v) no more than 18 months have passed since December 21, 2000, and—
(I) it is traded on or subject to the rules of a foreign board of trade;
(II) the offer and sale in the United States of a contract of sale for future delivery on the index was authorized before December 21, 2000; and
(III) the conditions of such authorization continue to be met; or
(vi) a contract of sale for future delivery on the index is traded on or subject to the rules of a board of trade and meets such requirements as are jointly established by rule, regulation, or order by the Commission and the Securities and Exchange Commission.
(C) Within 1 year after December 21, 2000, the Commission and the Securities and Exchange Commission jointly shall adopt rules or regulations that set forth the requirements under subparagraph (B)(iv).
(D) An index that is a narrow-based security index solely because it was a narrow-based security index for more than 45 business days over 3 consecutive calendar months pursuant to clause (iii) of subparagraph (B) shall not be a narrow-based security index for the 3 following calendar months.
(E) For purposes of subparagraphs (A) and (B)—
(i) the dollar value of average daily trading volume and the market capitalization shall be calculated as of the preceding 6 full calendar months; and
(ii) the Commission and the Securities and Exchange Commission shall, by rule or regulation, jointly specify the method to be used to determine market capitalization and dollar value of average daily trading volume.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Option","The term “option” means an agreement, contract, or transaction that is of the character of, or is commonly known to the trade as, an “option”, “privilege”, “indemnity”, “bid”, “offer”, “put”, “call”, “advance guaranty”, or “decline guaranty”.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Organized exchange","The term “organized exchange” means a trading facility that—
(A) permits trading—
(i) by or on behalf of a person that is not an eligible contract participant; or
(ii) by persons other than on a principal-to-principal basis; or
(B) has adopted (directly or through another nongovernmental entity) rules that—
(i) govern the conduct of participants, other than rules that govern the submission of orders or execution of transactions on the trading facility; and
(ii) include disciplinary sanctions other than the exclusion of participants from trading.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Person","The term “person” imports the plural or singular, and includes individuals, associations, partnerships, corporations, and trusts.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Prudential regulator","The term “prudential regulator” means—
(A) the Board in the case of a swap dealer, major swap participant, security-based swap dealer, or major security-based swap participant that is—
(i) a State-chartered bank that is a member of the Federal Reserve System;
(ii) a State-chartered branch or agency of a foreign bank;
(iii) any foreign bank which does not operate an insured branch;
(iv) any organization operating under section 25A of the Federal Reserve Act [12 U.S.C. 611 et seq.] or having an agreement with the Board under section 225 of the Federal Reserve Act  [4] ;
(v) any bank holding company (as defined in section 2 of the Bank Holding Company Act of 1965  [4] (12 U.S.C. 1841)), any foreign bank (as defined in section 3101 (7) of title 12) that is treated as a bank holding company under section 3106 (a) of title 12, and any subsidiary of such a company or foreign bank (other than a subsidiary that is described in subparagraph (A) or (B) or that is required to be registered with the Commission as a swap dealer or major swap participant under this chapter or with the Securities and Exchange Commission as a security-based swap dealer or major security-based swap participant);
(vi) after the transfer date (as defined in section 311 of the Dodd-Frank Wall Street Reform and Consumer Protection Act [12 U.S.C. 5411]), any savings and loan holding company (as defined in section 1467a of title 12) and any subsidiary of such company (other than a subsidiary that is described in subparagraph (A) or (B) or that is required to be registered as a swap dealer or major swap participant with the Commission under this chapter or with the Securities and Exchange Commission as a security-based swap dealer or major security-based swap participant); or
(vii) any organization operating under section 25A of the Federal Reserve Act (12 U.S.C. 611 et seq.) or having an agreement with the Board under section 25 of the Federal Reserve Act (12 U.S.C. 601 et seq.);
(B) the Office of the Comptroller of the Currency in the case of a swap dealer, major swap participant, security-based swap dealer, or major security-based swap participant that is—
(i) a national bank;
(ii) a federally chartered branch or agency of a foreign bank; or
(iii) any Federal savings association;
(C) the Federal Deposit Insurance Corporation in the case of a swap dealer, major swap participant, security-based swap dealer, or major security-based swap participant that is—
(i) a State-chartered bank that is not a member of the Federal Reserve System; or
(ii) any State savings association;
(D) the Farm Credit Administration, in the case of a swap dealer, major swap participant, security-based swap dealer, or major security-based swap participant that is an institution chartered under the Farm Credit Act of 1971 (12 U.S.C. 2001 et seq.); and
(E) the Federal Housing Finance Agency in the case of a swap dealer, major swap participant, security-based swap dealer, or major security-based swap participant that is a regulated entity (as such term is defined in section 4502 of title 12).","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Registered entity","The term “registered entity” means—
(A) a board of trade designated as a contract market under section 7 of this title;
(B) a derivatives clearing organization registered under section 7a–1 of this title;
(C) a board of trade designated as a contract market under section 7b–1 of this title;
(D) a swap execution facility registered under section 7b–3 of this title;
(E) a swap data repository registered under section 24a of this title; and
(F) with respect to a contract that the Commission determines is a significant price discovery contract, any electronic trading facility on which the contract is executed or traded.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Security","The term “security” means a security as defined in section 2(a)(1) of the Securities Act of 1933 (15 U.S.C. 77b (a)(1)) orsection 3(a)(10) of the Securities Exchange Act of 1934 (15 U.S.C. 78c (a)(10)).","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Security-based swap","The term “security-based swap” has the meaning given the term in section 3(a) of the Securities Exchange Act of 1934 (15 U.S.C. 78c (a)).","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Security-based swap dealer","The term “security-based swap dealer” has the meaning given the term in section 3(a) of the Securities Exchange Act of 1934 (15 U.S.C. 78c (a)).","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Security future","The term “security future” means a contract of sale for future delivery of a single security or of a narrow-based security index, including any interest therein or based on the value thereof, except an exempted security under section 3(a)(12) of the Securities Exchange Act of 1934 [15 U.S.C. 78c (a)(12)] as in effect on January 11, 1983 (other than any municipal security as defined in section 3(a)(29) of the Securities Exchange Act of 1934 [15 U.S.C. 78c (a)(29)] as in effect on January 11, 1983). The term “security future” does not include any agreement, contract, or transaction excluded from this chapter under section 2 (c), 2 (d), 2 (f), or 2 (g) of this title (as in effect on December 21, 2000) or sections 27 to 27f of this title.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Security futures product","The term “security futures product” means a security future or any put, call, straddle, option, or privilege on any security future.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Significant price discovery contract","The term “significant price discovery contract” means an agreement, contract, or transaction subject to section 2 (h)(5) of this title.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Swap","(A) In general
Except as provided in subparagraph (B), the term “swap” means any agreement, contract, or transaction—
(i) that is a put, call, cap, floor, collar, or similar option of any kind that is for the purchase or sale, or based on the value, of 1 or more interest or other rates, currencies, commodities, securities, instruments of indebtedness, indices, quantitative measures, or other financial or economic interests or property of any kind;
(ii) that provides for any purchase, sale, payment, or delivery (other than a dividend on an equity security) that is dependent on the occurrence, nonoccurrence, or the extent of the occurrence of an event or contingency associated with a potential financial, economic, or commercial consequence;
(iii) that provides on an executory basis for the exchange, on a fixed or contingent basis, of 1 or more payments based on the value or level of 1 or more interest or other rates, currencies, commodities, securities, instruments of indebtedness, indices, quantitative measures, or other financial or economic interests or property of any kind, or any interest therein or based on the value thereof, and that transfers, as between the parties to the transaction, in whole or in part, the financial risk associated with a future change in any such value or level without also conveying a current or future direct or indirect ownership interest in an asset (including any enterprise or investment pool) or liability that incorporates the financial risk so transferred, including any agreement, contract, or transaction commonly known as—
(I) an interest rate swap;
(II) a rate floor;
(III) a rate cap;
(IV) a rate collar;
(V) a cross-currency rate swap;
(VI) a basis swap;
(VII) a currency swap;
(VIII) a foreign exchange swap;
(IX) a total return swap;
(X) an equity index swap;
(XI) an equity swap;
(XII) a debt index swap;
(XIII) a debt swap;
(XIV) a credit spread;
(XV) a credit default swap;
(XVI) a credit swap;
(XVII) a weather swap;
(XVIII) an energy swap;
(XIX) a metal swap;
(XX) an agricultural swap;
(XXI) an emissions swap; and
(XXII) a commodity swap;
(iv) that is an agreement, contract, or transaction that is, or in the future becomes, commonly known to the trade as a swap;
(v) including any security-based swap agreement which meets the definition of “swap agreement” as defined in section 206A of the Gramm-Leach-Bliley Act (15 U.S.C. 78c note) of which a material term is based on the price, yield, value, or volatility of any security or any group or index of securities, or any interest therein; or
(vi) that is any combination or permutation of, or option on, any agreement, contract, or transaction described in any of clauses (i) through (v).
(B) Exclusions
The term “swap” does not include—
(i) any contract of sale of a commodity for future delivery (or option on such a contract), leverage contract authorized under section 23 of this title, security futures product, or agreement, contract, or transaction described in section 2 (c)(2)(C)(i) of this title or section 2 (c)(2)(D)(i) of this title;
(ii) any sale of a nonfinancial commodity or security for deferred shipment or delivery, so long as the transaction is intended to be physically settled;
(iii) any put, call, straddle, option, or privilege on any security, certificate of deposit, or group or index of securities, including any interest therein or based on the value thereof, that is subject to—
(I) the Securities Act of 1933 (15 U.S.C. 77a et seq.); and
(II) the Securities Exchange Act of 1934 (15 U.S.C. 78a et seq.);
(iv) any put, call, straddle, option, or privilege relating to a foreign currency entered into on a national securities exchange registered pursuant to section 6(a) of the Securities Exchange Act of 1934 (15 U.S.C. 78f (a));
(v) any agreement, contract, or transaction providing for the purchase or sale of 1 or more securities on a fixed basis that is subject to—
(I) the Securities Act of 1933 (15 U.S.C. 77a et seq.); and
(II) the Securities Exchange Act of 1934 (15 U.S.C. 78a et seq.);
(vi) any agreement, contract, or transaction providing for the purchase or sale of 1 or more securities on a contingent basis that is subject to the Securities Act of 1933 (15 U.S.C. 77a et seq.) and the Securities Exchange Act of 1934 (15 U.S.C. 78a et seq.), unless the agreement, contract, or transaction predicates the purchase or sale on the occurrence of a bona fide contingency that might reasonably be expected to affect or be affected by the creditworthiness of a party other than a party to the agreement, contract, or transaction;
(vii) any note, bond, or evidence of indebtedness that is a security, as defined in section 2(a)(1) of the Securities Act of 1933 (15 U.S.C. 77b (a)(1));
(viii) any agreement, contract, or transaction that is—
(I) based on a security; and
(II) entered into directly or through an underwriter (as defined in section 2(a)(11) of the Securities Act of 1933 (15 U.S.C. 77b (a)(11))  [5] by the issuer of such security for the purposes of raising capital, unless the agreement, contract, or transaction is entered into to manage a risk associated with capital raising;
(ix) any agreement, contract, or transaction a counterparty of which is a Federal Reserve bank, the Federal Government, or a Federal agency that is expressly backed by the full faith and credit of the United States; and
(x) any security-based swap, other than a security-based swap as described in subparagraph (D).
(C) Rule of construction regarding master agreements
(i) In general Except as provided in clause (ii), the term “swap” includes a master agreement that provides for an agreement, contract, or transaction that is a swap under subparagraph (A), together with each supplement to any master agreement, without regard to whether the master agreement contains an agreement, contract, or transaction that is not a swap pursuant to subparagraph (A).
(ii) Exception For purposes of clause (i), the master agreement shall be considered to be a swap only with respect to each agreement, contract, or transaction covered by the master agreement that is a swap pursuant to subparagraph (A).
(D) Mixed swap
The term “security-based swap” includes any agreement, contract, or transaction that is as described in section 3(a)(68)(A) of the Securities Exchange Act of 1934 (15 U.S.C. 78c (a)(68)(A)) and also is based on the value of 1 or more interest or other rates, currencies, commodities, instruments of indebtedness, indices, quantitative measures, other financial or economic interest or property of any kind (other than a single security or a narrow-based security index), or the occurrence, non-occurrence, or the extent of the occurrence of an event or contingency associated with a potential financial, economic, or commercial consequence (other than an event described in subparagraph (A)(iii)).
(E) Treatment of foreign exchange swaps and forwards
(i) In general Foreign exchange swaps and foreign exchange forwards shall be considered swaps under this paragraph unless the Secretary makes a written determination under section 1b of this title that either foreign exchange swaps or foreign exchange forwards or both—
(I) should be not be regulated as swaps under this chapter; and
(II) are not structured to evade the Dodd-Frank Wall Street Reform and Consumer Protection Act in violation of any rule promulgated by the Commission pursuant to section 721(c) of that Act [15 U.S.C. 8321 (b)].
(ii) Congressional notice; effectiveness The Secretary shall submit any written determination under clause (i) to the appropriate committees of Congress, including the Committee on Agriculture, Nutrition, and Forestry of the Senate and the Committee on Agriculture of the House of Representatives. Any such written determination by the Secretary shall not be effective until it is submitted to the appropriate committees of Congress.
(iii) Reporting Notwithstanding a written determination by the Secretary under clause (i), all foreign exchange swaps and foreign exchange forwards shall be reported to either a swap data repository, or, if there is no swap data repository that would accept such swaps or forwards, to the Commission pursuant to section 6r of this title within such time period as the Commission may by rule or regulation prescribe.
(iv) Business standards Notwithstanding a written determination by the Secretary pursuant to clause (i), any party to a foreign exchange swap or forward that is a swap dealer or major swap participant shall conform to the business conduct standards contained in section 6s (h) of this title.
(v) Secretary For purposes of this subparagraph, the term “Secretary” means the Secretary of the Treasury.
(F) Exception for certain foreign exchange swaps and forwards
(i) Registered entities Any foreign exchange swap and any foreign exchange forward that is listed and traded on or subject to the rules of a designated contract market or a swap execution facility, or that is cleared by a derivatives clearing organization, shall not be exempt from any provision of this chapter or amendments made by the Wall Street Transparency and Accountability Act of 2010 prohibiting fraud or manipulation.
(ii) Retail transactions Nothing in subparagraph (E) shall affect, or be construed to affect, the applicability of this chapter or the jurisdiction of the Commission with respect to agreements, contracts, or transactions in foreign currency pursuant to section 2 (c)(2) of this title.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Swap data repository","The term “swap data repository” means any person that collects and maintains information or records with respect to transactions or positions in, or the terms and conditions of, swaps entered into by third parties for the purpose of providing a centralized recordkeeping facility for swaps.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Swap dealer","(A) In general
The term “swap dealer” means any person who—
(i) holds itself out as a dealer in swaps;
(ii) makes a market in swaps;
(iii) regularly enters into swaps with counterparties as an ordinary course of business for its own account; or
(iv) engages in any activity causing the person to be commonly known in the trade as a dealer or market maker in swaps,
provided however, in no event shall an insured depository institution be considered to be a swap dealer to the extent it offers to enter into a swap with a customer in connection with originating a loan with that customer.
(B) Inclusion
A person may be designated as a swap dealer for a single type or single class or category of swap or activities and considered not to be a swap dealer for other types, classes, or categories of swaps or activities.
(C) Exception
The term “swap dealer” does not include a person that enters into swaps for such person’s own account, either individually or in a fiduciary capacity, but not as a part of a regular business.
(D) De minimis exception
The Commission shall exempt from designation as a swap dealer an entity that engages in a de minimis quantity of swap dealing in connection with transactions with or on behalf of its customers. The Commission shall promulgate regulations to establish factors with respect to the making of this determination to exempt.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Swap execution facility","The term “swap execution facility” means a trading system or platform in which multiple participants have the ability to execute or trade swaps by accepting bids and offers made by multiple participants in the facility or system, through any means of interstate commerce, including any trading facility, that—
(A) facilitates the execution of swaps between persons; and
(B) is not a designated contract market.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Trading facility","(A) In general
The term “trading facility” means a person or group of persons that constitutes, maintains, or provides a physical or electronic facility or system in which multiple participants have the ability to execute or trade agreements, contracts, or transactions—
(i) by accepting bids or offers made by other participants that are open to multiple participants in the facility or system; or
(ii) through the interaction of multiple bids or multiple offers within a system with a pre-determined non-discretionary automated trade matching and execution algorithm.
(B) Exclusions
The term “trading facility” does not include—
(i) a person or group of persons solely because the person or group of persons constitutes, maintains, or provides an electronic facility or system that enables participants to negotiate the terms of and enter into bilateral transactions as a result of communications exchanged by the parties and not from interaction of multiple bids and multiple offers within a predetermined, nondiscretionary automated trade matching and execution algorithm;
(ii) a government securities dealer or government securities broker, to the extent that the dealer or broker executes or trades agreements, contracts, or transactions in government securities, or assists persons in communicating about, negotiating, entering into, executing, or trading an agreement, contract, or transaction in government securities (as the terms “government securities dealer”, “government securities broker”, and “government securities” are defined in section 3(a) of the Securities Exchange Act of 1934 (15 U.S.C. 78c (a))); or
(iii) facilities on which bids and offers, and acceptances of bids and offers effected on the facility, are not binding.
 Any person, group of persons, dealer, broker, or facility described in clause (i) or (ii) is excluded from the meaning of the term “trading facility” for the purposes of this chapter without any prior specific approval, certification, or other action by the Commission.
(C) Special rule
A person or group of persons that would not otherwise constitute a trading facility shall not be considered to be a trading facility solely as a result of the submission to a derivatives clearing organization of transactions executed on or through the person or group of persons.","As used in this chapter:"
"7 U.S. Code § 4402","Definitions","The term “agreement” means the Agreement on the International Carriage of Perishable Foodstuffs and on the Special Equipment to be Used for Such Carriage, and the annexes and the appendices thereto, done at Geneva, September 1, 1970, under the auspices of the Economic Commission for Europe of the United Nations.","","As used in this chapter—"
"7 U.S. Code § 4402","Definitions","The term “contracting party” means any country that is eligible under article 9 of the agreement and that has complied with the terms of such article.","","As used in this chapter—"
"7 U.S. Code § 4402","Definitions","The term “equipment” means the special transport equipment that complies with the definitions and standards set forth in annex 1 to the agreement, including, but not limited to, railway cars, trucks, trailers, semitrailers, and intermodal freight containers that are insulated only, or insulated and equipped with a refrigerating, mechanically refrigerating, or heating appliance.","","As used in this chapter—"
"7 U.S. Code § 4402","Definitions","The term “perishable foodstuffs” means quick deep-frozen and frozen food products listed in annex 2 and food products listed in annex 3 to the agreement.","","As used in this chapter—"
"7 U.S. Code § 4402","Definitions","The term “international carriage” means transportation of perishable foodstuffs if such foodstuffs are loaded in equipment or the equipment containing them is loaded onto a rail or road vehicle, in the territory of any country and such foodstuffs are, or the equipment containing them is, unloaded in the territory of another country that is a contracting party, where such transportation is by—","(A) rail,
(B) road,
(C) any combination of rail and road, or
(D) any sea crossing of less than one hundred and fifty kilometers, if preceded or followed by one or more land journeys as referred to in clauses (A), (B), and (C) of this paragraph, and the perishable foodstuffs are shipped in the same equipment used for such land journeys without transloading of such foodstuffs.
In the case of any transportation that involves one or more sea crossings other than as specified in clause (D) of this paragraph, each land journey shall be considered separately.","As used in this chapter—"
"7 U.S. Code § 4402","Definitions","The term “United States” means the fifty States of the United States, the District of Columbia, the Commonwealth of Puerto Rico, Guam, American Samoa, the Virgin Islands of the United States, the Commonwealth of the Northern Mariana Islands, and any other territory or possession of the United States.","","As used in this chapter—"
"7 U.S. Code § 138","Definitions","Agricultural product","The term “agricultural product” means any fresh fruit or vegetable or any commodity or product derived from livestock or fowl, that is marketed in the United States for human consumption.","As used in this chapter:"
"7 U.S. Code § 138","Definitions","Certificate","The term “certificate” means a certificate of accreditation issued under this chapter.","As used in this chapter:"
"7 U.S. Code § 138","Definitions","Laboratory","The term “laboratory” means any facility or vehicle that is owned by an individual or a public or private entity and is equipped and operated for the purpose of carrying out pesticide residue analysis on agricultural products for commercial purposes.","As used in this chapter:"
"7 U.S. Code § 138","Definitions","Pesticide","The term “pesticide” means any substance that alone, in chemical combination, or in any formulation with one or more substances, is defined as a pesticide in section 136 (u) of this title.","As used in this chapter:"
"7 U.S. Code § 138","Definitions","Secretary","The term “Secretary” means the Secretary of Agriculture.","As used in this chapter:"
"7 U.S. Code § 8751","Definitions","Base acres for peanuts","(A) In general
The term “base acres for peanuts” means the number of acres assigned to a farm pursuant to section 7952 of this title, as in effect on September 30, 2007, subject to any adjustment under section 8752 of this title.
(B) Covered commodities
The term “base acres”, with respect to a covered commodity, has the meaning given the term in section 8711 of this title.","In this subchapter:"
"7 U.S. Code § 8751","Definitions","Counter-cyclical payment","The term “counter-cyclical payment” means a payment made to producers on a farm under section 8754 of this title.","In this subchapter:"
"7 U.S. Code § 8751","Definitions","Direct payment","The term “direct payment” means a direct payment made to producers on a farm under section 8753 of this title.","In this subchapter:"
"7 U.S. Code § 8751","Definitions","Effective price","The term “effective price” means the price calculated by the Secretary under section 8754 of this title for peanuts to determine whether counter-cyclical payments are required to be made under that section for a crop year.","In this subchapter:"
"7 U.S. Code § 8751","Definitions","Payment acres","The term “payment acres” means, in the case of direct payments and counter-cyclical payments—
(A) except as provided in subparagraph (B), 85 percent of the base acres of peanuts on a farm on which direct payments or counter-cyclical payments are made; and
(B) in the case of direct payments for each of the 2009 through 2011 crop years, 83.3 percent of the base acres for peanuts on a farm on which direct payments are made.","In this subchapter:"
"7 U.S. Code § 8751","Definitions","Payment yield","The term “payment yield” means the yield established for direct payments and the yield established for counter-cyclical payments under section 7952 of this title, as in effect on September 30, 2007, for a farm for peanuts.","In this subchapter:"
"7 U.S. Code § 8751","Definitions","Producer","(A) In general
The term “producer” means an owner, operator, landlord, tenant, or sharecropper that shares in the risk of producing a crop on a farm and is entitled to share in the crop available for marketing from the farm, or would have shared had the crop been produced.
(B) Hybrid seed
In determining whether a grower of hybrid seed is a producer, the Secretary shall—
(i) not take into consideration the existence of a hybrid seed contract; and
(ii) ensure that program requirements do not adversely affect the ability of the grower to receive a payment under this subchapter.","In this subchapter:"
"7 U.S. Code § 8751","Definitions","State","The term “State” means—
(A) a State;
(B) the District of Columbia;
(C) the Commonwealth of Puerto Rico; and
(D) any other territory or possession of the United States.","In this subchapter:"
"7 U.S. Code § 8751","Definitions","Target price","The term “target price” means the price per ton of peanuts used to determine the payment rate for counter-cyclical payments.","In this subchapter:"
"7 U.S. Code § 8751","Definitions","United States","The term “United States”, when used in a geographical sense, means all of the States.","In this subchapter:"
"7 U.S. Code § 4302","Definitions","The term “Secretary” means the Secretary of Agriculture of the United States Department of Agriculture.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “person” means any individual, group of individuals, partnership, corporation, association, cooperative, or any other entity.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “cut flowers” means all flowers and decorative foliage used as fresh-cut flowers, fresh-cut decorative foliage, dried, preserved, and processed flowers, or dried and preserved decorative foliage, produced either under cover or in field operations.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “potted flowering plants” means those plants that normally produce flowers, primarily produced in pots or similar containers, that are primarily used for interior decoration, whether grown under cover or in field operations.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “foliage plants” means those plants, normally without flowers, primarily produced in pots or similar containers, that are primarily used for interior decorations, whether grown under cover or in field operations.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “propagational material” means any plant material used in the propagation of cut flowers, potted flowering plants, and foliage plants, including cuttings, bulbs and corms, seedlings, canes, liners, plants, cells or tissue cultures, air layers and bublets, [1] rhizomes, and root stocks. This term does not include seeds.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “flowers and plants” means cut flowers, potted flowering plants, foliage plants, and propagational material.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “United States” means the fifty States of the United States of America, the territories and possessions of the United States of America, and the District of Columbia.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “promotion” means any action, including paid advertising, to advance the image or desirability of cut flowers, potted flowering plants, and foliage plants.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “research” means any type of research to advance the image, desirability, or marketability of cut flowers, potted flowering plants, and foliage plants.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “consumer education” means any action to provide information on the care and handling of cut flowers, potted flowering plants, and foliage plants.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “marketing” means the sale or other disposition in commerce of cut flowers, potted flowering plants, and foliage plants.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","Unless otherwise noted, the term “producer” means any person who produces domestically, for sale in commerce, cut flowers, potted flowering plants, or foliage plants.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “Floraboard” means the board provided for under section 4306 of this title.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “importer” means any person who imports cut flowers, potted flowering plants, or foliage plants from outside of the United States or who acts as an agent, broker, or consignee of any person or nation that produces flowers and plants outside of the United States for sale in the United States.","","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “commodity group” means that portion of the flower and plant industry devoted to the production and importation of any one of the following:","(A) cut flowers;
(B) potted flowering plants; or
(C) foliage plants.","As used in this chapter—"
"7 U.S. Code § 4302","Definitions","The term “cost of plant material” means the actual price paid by a producer for any propagational material or any other flowers and plants used in the production of flowers and plants. This term does not include the cost of seeds.","","As used in this chapter—"
"7 U.S. Code § 8501","Definitions","Brown tree snake","The term “brown tree snake” means the species of the snake Boiga irregularis.","In this chapter:"
"7 U.S. Code § 8501","Definitions","Compact of Free Association","The term “Compact of Free Association” means the Compacts of Free Association entered into between the United States and the governments of the Federated States of Micronesia and the Republic of the Marshall Islands, as approved by and contained in Public Law 108–188 (117 Stat. 2720; 48 U.S.C. 1921 et seq.), and the Compact of Free Association entered into between the United States and the government of the Republic of Palau, as approved by and contained in Public Law 99–658 (100 Stat. 3673; 48 U.S.C. 1931 et seq.).","In this chapter:"
"7 U.S. Code § 8501","Definitions","Freely Associated States","The term “Freely Associated States” means the Republic of Palau, the Federated States of Micronesia, and the Republic of the Marshall Islands.","In this chapter:"
"7 U.S. Code § 8501","Definitions","Introduction","The terms “introduce” and “introduction” refer to the expansion of the brown tree snake outside of the range where this species is endemic.","In this chapter:"
"7 U.S. Code § 8501","Definitions","Secretary","The term “Secretary concerned” means—
(A) the Secretary of the Interior, with respect to matters under the jurisdiction of the Department of the Interior; and
(B) the Secretary of Agriculture, with respect to matters under the jurisdiction of the Department of Agriculture.","In this chapter:"
"7 U.S. Code § 8501","Definitions","Secretaries","The term “Secretaries” means both the Secretary of the Interior and the Secretary of Agriculture.","In this chapter:"
"7 U.S. Code § 8501","Definitions","Technical Working Group","The term “Technical Working Group” means Brown Tree Snake Technical Working Group established under the authority of section 4728 of title 16.","In this chapter:"
"7 U.S. Code § 8501","Definitions","Territorial","The term “territorial”, when used to refer to a government, means the Government of Guam, the Government of American Samoa, and the Government of the Commonwealth of the Northern Mariana Islands, as well as autonomous agencies and instrumentalities of such a government.","In this chapter:"
"7 U.S. Code § 8501","Definitions","United States","The term “United States”, when used in the geographic sense, means the several States, the District of Colombia, [1] American Samoa, Guam, the Commonwealth of the Northern Mariana Islands, the Commonwealth of Puerto Rico, the United States Virgin Islands, any other possession of the United States, and any waters within the jurisdiction of the United States.","In this chapter:"
"7 U.S. Code § 241","Definitions","Agricultural product","The term “agricultural product” means an agricultural commodity, as determined by the Secretary, including a processed product of an agricultural commodity.","In this chapter:"
"7 U.S. Code § 241","Definitions","Approval","The term “approval” means the consent provided by the Secretary for a person to engage in an activity authorized by this chapter.","In this chapter:"
"7 U.S. Code § 241","Definitions","Department","The term “Department” means the Department of Agriculture.","In this chapter:"
"7 U.S. Code § 241","Definitions","Electronic document","The term “electronic document” means a document that is generated, sent, received, or stored by electronic, optical, or similar means, including electronic data interchange, electronic mail, telegram, telex, or telecopy.","In this chapter:"
